college,state,students,privateorpublic,acceptance_rate,city,address,zip,urbanicity,website,school_type,graduation_rate,GPA,Division,tuition,fields_of_study_json,student_faculty_ratio,race_ethnicity_json,sat_score,act_score
Blue Cliff College-Gulfport,ミシシッピ州(MS),352,営利,,Gulfport,12251 Bernard Pkwy,39503,都市部,bluecliffcollege.edu/,2年制,0.2273,N/A,N/A,N/A,N/A,,,,
Metropolitan Learning Institute,ニューヨーク州(NY),294,私立,,Rego Park,"97-77 Queens Blvd, 9th Floor",11374,都市部,www.gettraining.org/,2年制,0.806,N/A,N/A,N/A,N/A,,,,
Orleans Niagara BOCES-Practical Nursing Program,ニューヨーク州(NY),12,州立,,Lockport,50 Main Street,14094,町,https://www.onboces.org/,2年制,,N/A,N/A,N/A,N/A,,,,
Yeshiva Shaarei Torah of Rockland,ニューヨーク州(NY),141,私立,0.4,Suffern,91 W Carlton Rd,10901-4003,郊外,www.yst.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Leon Studio One School of Beauty Knowledge,ニューヨーク州(NY),18,営利,,Williamsville,5385 Main St,14221,郊外,www.leonstudioone.com/school/,2年制,0.7838,N/A,N/A,N/A,N/A,,,,
American Institute of Alternative Medicine,オハイオ州(OH),336,営利,0.7663,Columbus,6685 Doubletree Ave,43229,都市部,www.aiam.edu/,2年制,0.5192,N/A,N/A,N/A,N/A,,,,
Brown Aveda Institute-Mentor,オハイオ州(OH),124,営利,,Mentor,8816 Mentor Ave,44060,郊外,www.brownaveda.com/,2年制,0.8143,N/A,N/A,N/A,N/A,,,,
Institute of Technology,オレゴン州(OR),261,営利,,Salem,4700 Silverton Road NE,97305,郊外,www.iot.edu/,2年制,0.7723,N/A,N/A,N/A,N/A,,,,
Susquehanna County Career and Technology Center,ペンシルベニア州(PA),42,州立,,Springville,2380 Elk Lake School Road,18844,田舎,www.scctc-school.org/,2年制,0.9638,N/A,N/A,N/A,N/A,,,,
Universidad Pentecostal Mizpa,プエルトリコ(PR),110,私立,,Rio Piedras,Bo Caimito Rd 199 Km 0.3,928,都市部,mizpa.edu/,N/A,0.2408,N/A,N/A,N/A,N/A,,,,
Caribbean Forensic and Technical College,プエルトリコ(PR),267,営利,,San Juan,Ave. Ponce De Leon #1207,907,都市部,https://www.caribbeanforensic.com/,2年制,0.8049,N/A,N/A,N/A,N/A,,,,
Concorde Career College-Grand Prairie,テキサス州(TX),849,営利,1,Grand Prairie,305 W. Interstate 20,75052-3831,郊外,https://www.concorde.edu/campus/grand-prairie-texas,2年制,0.5589,N/A,N/A,N/A,N/A,,,,
Lamar Institute of Technology,テキサス州(TX),2971,州立,,Beaumont,855 E Lavaca,77705,都市部,https://www.lit.edu/,4年制,0.2729,N/A,N/A,N/A,N/A,,,,
Aviation Institute of Maintenance-Dallas,テキサス州(TX),406,営利,,Irving,400 E. Airport Freeway,75061,都市部,https://aviationmaintenance.edu/campuses/dallas-tx,2年制,0.4598,N/A,N/A,N/A,N/A,,,,
Healing Mountain Massage School,ユタ州(UT),41,営利,,Salt Lake City,"363 South 500 East, Suite 210",84102-4002,都市部,https://www.healingmountain.edu/,2年制,0.7823,N/A,N/A,N/A,N/A,,,,
Eastern Virginia Career College,バージニア州(VA),202,営利,0.5625,Fredericksburg,"10304 Spotsylvania Ave, Suite 400",22408,郊外,www.evcc.edu/,4年制,0.8247,N/A,N/A,N/A,N/A,,,,
Rudy & Kelly Academy A Paul Mitchell Partner School,バージニア州(VA),211,営利,,Virginia Beach,"1920 Centerville Turnpike, Suite 114",23464,都市部,https://paulmitchell.edu/virginiabeach,2年制,0.5536,N/A,N/A,N/A,N/A,,,,
Nevada State University,ネバダ州(NV),4581,州立,0.8248,Henderson,1300 Nevada State Drive,89002,田舎,https://nsc.edu/,N/A,0.3071,N/A,N/A,N/A,N/A,,,,
California State University-Channel Islands,カリフォルニア州(CA),5717,州立,0.8965,Camarillo,1 University Drive,93012,田舎,www.csuci.edu/,N/A,0.5735,N/A,N/A,N/A,N/A,,,,
Franklin W Olin College of Engineering,マサチューセッツ州(MA),356,私立,0.1914,Needham,1000 Olin Way,02492-1200,郊外,www.olin.edu/,N/A,0.9548,N/A,N/A,N/A,N/A,,,,
Won Institute of Graduate Studies,ペンシルベニア州(PA),,私立,,Warminster,800 Jacksonville Rd,18974,郊外,www.woninstitute.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Lincoln Technical Institute-Paramus,ニュージャージー州(NJ),600,営利,,Paramus,240 Bergen Town Center,07652-5002,郊外,www.lincolntech.edu/campus/paramus-nj,2年制,0.6038,N/A,N/A,N/A,N/A,,,,
Pima Medical Institute-Colorado Springs,コロラド州(CO),320,営利,,Colorado Springs,"5725 Mark Dabling Blvd, Suite 150",80919,都市部,https://pmi.edu/,2年制,0.6491,N/A,N/A,N/A,N/A,,,,
Paul Mitchell the School-Costa Mesa,カリフォルニア州(CA),405,営利,,Costa Mesa,"3309 Hyland Ave., Suite J",92626,都市部,paulmitchell.edu/costamesa,2年制,0.7299,N/A,N/A,N/A,N/A,,,,
Ave Maria School of Law,フロリダ州(FL),,私立,,Naples,1025 Commons Circle,34119,郊外,https://www.avemarialaw.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Tulsa Welding School-Jacksonville,フロリダ州(FL),931,営利,,Jacksonville,3500 Southside Blvd,32216,都市部,https://www.tws.edu/,2年制,0.614,N/A,N/A,N/A,N/A,,,,
Pennsylvania College of Health Sciences,ペンシルベニア州(PA),1529,私立,0.457,Lancaster,850 Greenfield Road,17601,田舎,https://www.pacollege.edu/,4年制,0.5318,N/A,N/A,N/A,N/A,,,,
West Virginia Junior College-Bridgeport,ウェストバージニア州(WV),146,営利,,Bridgeport,176 Thompson Dr.,26330,町,www.wvjc.edu/,4年制,0.625,N/A,N/A,N/A,N/A,,,,
St Louis College of Health Careers-Fenton,ミズーリ州(MO),407,営利,1,Fenton,1297 North Highway Drive,63026,郊外,www.slchc.edu/,4年制,0.5598,N/A,N/A,N/A,N/A,,,,
Interactive College of Technology-Gainesville,ジョージア州(GA),61,営利,,Gainesville,2323-C Browns Bridge Rd,30504,都市部,www.ict.edu/,4年制,0.125,N/A,N/A,N/A,N/A,,,,
San Joaquin Valley College-Ontario,カリフォルニア州(CA),895,営利,,Ontario,4580 Ontario Mills Parkway,91764-5107,都市部,sjvc.edu/,2年制,0.5733,N/A,N/A,N/A,N/A,,,,
Alaska Christian College,アラスカ州(AK),77,私立,,Soldotna,35109 Royal Place,99669,田舎,www.alaskacc.edu/,4年制,0.1967,N/A,N/A,N/A,N/A,,,,
University of Arkansas Grantham,アーカンソー州(AR),4598,州立,,LIttle Rock,2402 N University Ave,72207,都市部,https://www.uagrantham.edu/,N/A,0.2635,N/A,N/A,N/A,N/A,,,,
Carrington College-Albuquerque,ニューメキシコ州(NM),377,営利,,Albuquerque,1001 Menaul Blvd. N.E.,87107-1642,都市部,https://carrington.edu/,2年制,0.5695,N/A,N/A,N/A,N/A,,,,
NASCAR Technical Institute,ノースカロライナ州(NC),1274,営利,,Mooresville,220 Byers Creek Road,28117,都市部,www.uti.edu/,2年制,0.5318,N/A,N/A,N/A,N/A,,,,
University of the Potomac-VA Campus,バージニア州(VA),223,営利,,FALLS CHURCH,7799 LEESBURG PIKE,22043-2536,郊外,www.potomac.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Milan Institute-Palm Desert,カリフォルニア州(CA),241,営利,,Palm Desert,"75-030 Gerald Ford Drive, Suite 203",92211,都市部,www.milaninstitute.edu/,2年制,0.5812,N/A,N/A,N/A,N/A,,,,
Tohono O'odham Community College,アリゾナ州(AZ),781,州立,,Sells,"AZ Hwy 86, Mile Post 125.5",85634-3129,田舎,www.tocc.edu/,4年制,0.0882,N/A,N/A,N/A,N/A,,,,
Edward Via College of Osteopathic Medicine,バージニア州(VA),,私立,,Blacksburg,2265 Kraft Drive,24060,都市部,www.vcom.edu/,N/A,,N/A,N/A,N/A,N/A,,,,
Pacific College of Health and Science,イリノイ州(IL),57,営利,,Chicago,"65 East Wacker Place, 21st fl",60601,都市部,www.pacificcollege.edu/,2年制,,N/A,N/A,N/A,N/A,,,,
Southwest Institute of Healing Arts,アリゾナ州(AZ),886,営利,,Tempe,1538 E. Southern Ave,85282,都市部,swiha.edu/,2年制,0.4312,N/A,N/A,N/A,N/A,,,,
